"Year","Quarter","Group","Unit","Inflation Deflator","Adult Population","Working Age Population","Household Population","Real Total Factor Income","Real Factor Income Share","Real Factor Income Per Unit Growth","Real Factor Income Per Unit","Real Factor Income Threshold"
"2000","2","Top 1%","adult_equal_split","0.54963364","2022551.6662705813","1676195.791574411","1482358.0380245235","2701920265213.611","0.16832587003854","1.5257038908156724","1335896.7833913134","507149.4939761522"
"2000","3","Top 1%","adult_equal_split","0.5528472066666666","2028533.7434603835","1682254.679328821","1487355.3051474227","2750310920271.178","0.16987438861738485","1.5633569480787934","1355812.2605244652","513769.0271613281"
"2000","4","Top 1%","adult_equal_split","0.55582573","2034314.2424221064","1688146.281330901","1492204.7049027262","2767733079540.721","0.17047815554033338","1.5722649136054805","1360523.866875841","517733.04343379365"
"2001","1","Top 1%","adult_equal_split","0.5595015866666667","2040653.9794547881","1693648.385725796","1496481.4053817887","2777659778319.6523","0.1697337824813458","1.5734705860853382","1361161.5718710793","515174.5733700584"
"2001","2","Top 1%","adult_equal_split","0.56286669","2047228.7697539728","1698918.682805254","1500438.344006404","2777513029844.379","0.17008388256510973","1.5650702164368704","1356718.4434293432","506849.4768427078"
"2001","3","Top 1%","adult_equal_split","0.56507979","2053073.079881519","1703582.6337069583","1503859.2187186796","2715660358948.272","0.1679017192717521","1.5008092868729697","1322729.5148719158","494076.62417559884"
"2001","4","Top 1%","adult_equal_split","0.5668532666666667","2058542.3147347237","1707935.3003452886","1507005.0880607115","2673179652286.5566","0.16594118077861497","1.4551491306731723","1298578.918272583","484806.6466339499"
"2002","1","Top 1%","adult_equal_split","0.56863437","2064530.9475907714","1713102.3883324768","1511655.5666342562","2692744302607.0317","0.16567203009672363","1.4659442133451386","1304288.6597313357","484807.527244627"
"2002","2","Top 1%","adult_equal_split","0.57062008","2070546.5509043783","1718483.5602508665","1516887.917719634","2682965891427.431","0.16369506045749793","1.449851058264604","1295776.658706639","484133.880713368"
"2002","3","Top 1%","adult_equal_split","0.5733561533333333","2075765.639477528","1723203.4576066525","1521536.327139083","2683472971927.5566","0.16308444256815735","1.4441532659678677","1292762.9790629877","484580.55502650264"
"2002","4","Top 1%","adult_equal_split","0.5766833233333334","2080963.28596587","1727905.2289848353","1526168.3278082192","2711762673009.648","0.16325272070744914","1.4637508632518759","1303128.5517134895","486687.1700027846"
"2003","1","Top 1%","adult_equal_split","0.5795027433333334","2086844.0837501583","1732865.8807277672","1530639.074915992","2670408639978.067","0.16124518277814454","1.4193419234280893","1279639.749213662","482082.6704432615"
"2003","2","Top 1%","adult_equal_split","0.5815415199999999","2093102.1976767455","1737985.7459790239","1535055.615493373","2694592621841.86","0.16108055116840267","1.4339531347037882","1287367.9196518657","485294.56040213484"
"2003","3","Top 1%","adult_equal_split","0.58486871","2098568.849499845","1742448.4438080925","1538891.746697378","2738890369259.156","0.16163651146701338","1.4675215598555444","1305122.9507728182","491031.90723695484"
"2003","4","Top 1%","adult_equal_split","0.5884308833333333","2104190.1098486744","1747039.544907924","1542841.329974172","2781349435046.8447","0.16251711907438374","1.4990797131515734","1321814.707724707","497081.7416692979"
"2004","1","Top 1%","adult_equal_split","0.5926297099999999","2110521.5227480703","1752194.5999567944","1547634.017445917","2890237948878.412","0.1671760409525277","1.5891269351030628","1369442.5371768244","505467.18671968457"
"2004","2","Top 1%","adult_equal_split","0.5974120733333333","2117158.467200856","1757590.4264152143","1552812.064530829","2934854396193.0933","0.16824183920737076","1.6208533659819437","1386223.299606539","509120.3644995303"
